name,BUGP,CBO,CF,DAC,DAM,DIT,ED,LCC,LCOM4,MIT,MPC,NOA,NOC,NOLM,NOM,NOP,NORM,NSM,PF,RFC,SIX,TLOC
com.bea.gestion.service.RemarqueService,0.4736609146027029,7.0,0.06896551724137931,3.0,1.0,0.0,-1.0,1.0,1.0,0.0,18.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,18.0,0.0,48.0
com.bea.gestion.controller.SetupController,0.2984491870744228,6.0,0.05172413793103448,2.0,1.0,0.0,1.0,1.0,1.0,0.0,26.0,3.0,0.0,0.0,3.0,2.6666666666666665,0.0,0.0,0.0,16.0,0.0,56.0
com.bea.gestion.entity.Role,0.10771453170148881,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0
com.bea.gestion.controller.DashboardController,0.12149597048642868,2.0,0.017241379310344827,1.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,4.0,0.5,0.0,0.0,0.0,5.0,0.0,21.0
com.bea.gestion.enums.EtatMateriel,0.13930262880493738,0.0,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,5.0,0.0,0.0,5.0,0.0,0.0,2.0,0.5,0.0,4.0,0.0,1.0,0.0,12.0
com.bea.gestion.service.StatistiquesService,0.2453569172898442,9.0,0.06896551724137931,2.0,1.0,0.0,0.0,1.0,1.0,0.0,38.0,2.0,0.0,0.0,4.0,0.75,0.0,0.0,0.0,21.0,0.0,53.0
com.bea.gestion.dto.ProjetDTO,0.6977611210302102,0.0,0.0,2.0,1.0,0.0,0.0,0.045454545454545456,15.0,0.0,0.0,15.0,0.0,0.0,30.0,0.5,0.0,0.0,0.0,15.0,0.0,127.0
com.bea.gestion.dto.MaterielDTO,0.6708034464699371,1.0,0.0,2.0,1.0,0.0,-1.0,0.05546218487394958,13.0,0.0,2.0,11.0,0.0,0.0,24.0,0.5416666666666666,0.0,0.0,0.0,12.0,0.0,100.0
com.bea.gestion.dto.LoginResponse,0.2629373778462769,0.0,0.0,0.0,1.0,0.0,0.0,0.7794117647058824,2.0,0.0,0.0,8.0,0.0,0.0,9.0,0.7777777777777778,0.0,0.0,0.0,8.0,0.0,52.0
com.bea.gestion.mapper.ProjetMapper,0.11660234250965995,6.0,0.05172413793103448,0.0,0.0,0.0,0.0,1.0,1.0,0.0,49.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,35.0,0.0,39.0
com.bea.gestion.mapper.UserMapper,0.08534423620908405,2.0,0.034482758620689655,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,19.0
com.bea.gestion.enums.TypeProjet,0.12154284930855264,0.0,0.0,1.0,0.0,0.0,0.0,0.3,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.5,0.0,2.0,0.0,1.0,0.0,12.0
com.bea.gestion.repository.RemarqueRepository,0.06842552707216198,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0
